category	source_file	line	code_span
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	219	packages/metrics/src/metric_collection/mod.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	247	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	262	packages/metrics/src/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	263	packages/metrics/src/metric_collection/mod.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/ISSUE.md	264	packages/metrics/src/label/set.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	86	packages/metrics/src/metric_collection/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	101	packages/metrics/src/metric_collection/serde.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	112	packages/metrics/src/sample.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	121	packages/metrics/src/sample_collection.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	130	packages/metrics/src/metric_collection/aggregate/sum.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	139	packages/metrics/src/unit.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md	149	packages/metrics/src/metric_collection/error.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/metric-collection-module-split.md	15	packages/metrics/src/metric_collection/mod.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/metric-collection-module-split.md	50	packages/metrics/src/metric_collection/error.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/metric-collection-module-split.md	59	packages/metrics/src/metric_collection/kind_collection.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/metric-collection-module-split.md	71	packages/metrics/src/metric_collection/serde.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/metric-collection-module-split.md	90	packages/metrics/src/metric_collection/prometheus.rs
historical-closed-doc	docs/issues/closed/1582-add-prometheus-deserialization-metrics/mutation-testing.md	297	docs/issues/1582-add-prometheus-deserialization-metrics/increase-unit-test-coverage.md
historical-closed-doc	docs/issues/closed/1671-ipv4-ipv6-client-metrics/ISSUE.md	101	packages/axum-http-server/tests/server/v1/contract.rs
historical-closed-doc	docs/issues/closed/1697-ai-agent-configuration.md	55	.github/agents/CUSTOM-AGENT-NAME.md
angle-placeholder	docs/issues/closed/1697-ai-agent-configuration.md	212	.github/agents/<agent-name>.md
angle-placeholder	docs/issues/closed/1697-ai-agent-configuration.md	354	docs/adrs/<YYYYMMDDHHMMSS>_ai-agent-framework-approach.md
historical-closed-doc	docs/issues/closed/1703-1525-01-persistence-test-coverage.md	168	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1706-1525-02-qbittorrent-e2e.md	79	contrib/dev-tools/debugging/qbt/run-qbittorrent-e2e.py
historical-closed-doc	docs/issues/closed/1706-1525-02-qbittorrent-e2e.md	113	src/bin/qbittorrent_e2e_runner.rs
historical-closed-doc	docs/issues/closed/1706-1525-02-qbittorrent-e2e.md	239	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1706-1525-02-qbittorrent-e2e.md	240	contrib/dev-tools/debugging/qbt/run-qbittorrent-e2e.py
directory-reference	docs/issues/closed/1710-1525-03-persistence-benchmarking.md	120	packages/tracker-core/benches/
angle-placeholder	docs/issues/closed/1710-1525-03-persistence-benchmarking.md	229	packages/tracker-core/docs/benchmarking/runs/<date>/sqlite3.json
angle-placeholder	docs/issues/closed/1710-1525-03-persistence-benchmarking.md	262	packages/tracker-core/docs/benchmarking/runs/<date>/sqlite3.json
historical-closed-doc	docs/issues/closed/1710-1525-03-persistence-benchmarking.md	274	packages/tracker-core/src/databases/driver/mysql.rs
angle-placeholder	docs/issues/closed/1713-1525-04-split-persistence-traits.md	110	docs/adrs/<timestamp>_keep_database_as_aggregate_supertrait.md
historical-closed-doc	docs/issues/closed/1713-1525-04-split-persistence-traits.md	314	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1715-1525-04b-migrate-consumers-to-narrow-traits.md	146	packages/axum-rest-tracker-api-server/tests/server/mod.rs::force_database_error
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	215	packages/tracker-core/src/databases/sqlx/mysql/
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	259	src/bin/persistence_benchmark/driver_bench/
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	260	src/bin/persistence_benchmark/driver_bench/operations/
